dn_type,total_firing,active_visuals,max_firing,dominant_visual,dominant_share,mean_active_firing,dominance_gap,visual_selectivity,flow,super_class,cell_class,cell_sub_class,supertype,hemibrain_type,ito_lee_hemilineage,hartenstein_hemilineage,top_nt,top_nt_conf,known_nt,side,nerve,firing_T4a,firing_T4b,firing_T4c,firing_T4d,firing_T5a,firing_T5b,firing_T5c,firing_T5d
DNb03,40,4,15,T4a,0.375,10.0,5.0,0.375,efferent,descending,,,,DNb03,putative_primary,putative_primary,acetylcholine,0.8740495430131815; 0.8751210009879646; 0.8797841979539885; 0.8899395068043566,,left; right,CV,15,7,0,0,8,10,0,0
DNp15,29,4,9,T4a,0.3103448275862069,7.25,2.0,0.3103448275862069,efferent,descending,,,,DNp15,putative_primary,putative_primary,acetylcholine,0.7098878465098594; 0.7525971575167125,,left; right,CV,9,7,0,0,6,7,0,0
DNg41,20,4,7,T4a,0.35,5.0,2.0,0.35,efferent,descending,,,,,putative_primary,putative_primary,acetylcholine; glutamate,0.518114872615264; 0.5622594848451485,,left; right,CV,7,4,0,0,4,5,0,0
DNae002,17,4,6,T4b,0.35294117647058826,4.25,1.0,0.35294117647058826,efferent,descending,,,10543.0,DNa04,WEDd1,DALd,acetylcholine,0.7512410546899679; 0.7797306490608501,,left; right,CV,5,6,0,0,1,5,0,0
DNbe001,15,4,5,T4b,0.3333333333333333,3.75,0.0,0.3333333333333333,efferent,descending,,,,PS103,putative_primary,putative_primary,acetylcholine,0.5678069222345702; 0.6659683866303248,,left; right,CV,3,5,0,0,2,5,0,0
DNp26,14,4,5,T5b,0.35714285714285715,3.5,1.0,0.35714285714285715,efferent,descending,,,,DNp26,putative_primary,putative_primary,acetylcholine,0.7143791713320087; 0.7311114152663972,,left; right,CV,4,3,0,0,2,5,0,0
DNae003,10,3,4,T4b,0.4,3.3333333333333335,0.0,0.4,efferent,descending,,,11314.0,PS040,WEDd1,DALd,acetylcholine,0.6735150518276354; 0.7619894502466836,,left; right,CV,2,4,0,0,0,4,0,0
DNae010,9,3,3,T4a,0.3333333333333333,3.0,0.0,0.3333333333333333,efferent,descending,,,10543.0,PS016,WEDd1,DALd,acetylcholine,0.5437297186601767; 0.5971652786102315,,left; right,CV,3,3,0,0,0,3,0,0
DNg71,9,3,3,T4a,0.3333333333333333,3.0,0.0,0.3333333333333333,efferent,descending,,,12670.0,,MD3,MD3,glutamate,0.7183163610219337; 0.7431034626887394,,left; right,CV,3,3,0,0,0,3,0,0
DNa02,8,4,3,T5b,0.375,2.0,1.0,0.375,efferent,descending,,,10360.0,DNa02,WEDd1,DALd,acetylcholine,0.7908463208967288; 0.7941235871987472,acetylcholine,left; right,CV,2,2,0,0,1,3,0,0
DNge006,6,4,3,T4a,0.5,1.5,2.0,0.5,efferent,descending,,,10668.0,,LB11,putative_primary,acetylcholine,0.4025194291776102; 0.8501133745899546,,left; right,CV,3,1,0,0,1,1,0,0
