supervoxel_id,root_id,pos_x,pos_y,pos_z,soma_x,soma_y,soma_z,nucleus_id,flow,super_class,cell_class,cell_sub_class,supertype,cell_type,hemibrain_type,ito_lee_hemilineage,hartenstein_hemilineage,top_nt,top_nt_conf,known_nt,known_nt_source,side,nerve,vfb_id,fbbt_id,status,dimorphism,matching_notes,fru_dsx,synonyms
81137567487052186,720575940622204186,152497.0,42104.0,2086.0,156184.0,40512.0,1179.0,6349690.0,efferent,descending,,,11314.0,DNae003,PS040,WEDd1,DALd,acetylcholine,0.7619894502466836,,,right,CV,fw000447,FBbt_00047512,,isomorphic,,,
81208623762116907,720575940627949589,153768.0,52048.0,5053.0,153768.0,52048.0,5053.0,6389163.0,efferent,descending,,,,DNp18,DNp18,putative_primary,putative_primary,acetylcholine,0.4858456454953332,acetylcholine,"Cheong et al., 2023 (EASI-FISH)",right,CV,fw000531,FBbt_00047651,,isomorphic,,,
81137567487051293,720575940604737708,153016.0,42562.0,2086.0,163432.0,42464.0,1075.0,6816778.0,efferent,descending,,,10360.0,DNa02,DNa02,WEDd1,DALd,acetylcholine,0.7908463208967288,acetylcholine,"Cheong et al., 2023 (EASI-FISH)",right,CV,fw000695,FBbt_00047573,,isomorphic,,,
81067198742877163,720575940620380449,152035.0,41995.0,2086.0,157304.0,40488.0,1040.0,6722941.0,efferent,descending,,,10543.0,DNae002,DNa04,WEDd1,DALd,acetylcholine,0.7797306490608501,,,right,CV,fw000698,FBbt_00047512,,isomorphic,,,
77761998406168140,720575940646764579,103640.0,74304.0,4882.0,103640.0,74304.0,4882.0,2575462.0,efferent,descending,,,10668.0,DNge006,,LB11,putative_primary,acetylcholine,0.4025194291776102,,,left,CV,fw000877,FBbt_00047516,,isomorphic,,,
78746473562545229,720575940634253281,118050.0,63708.0,4194.0,103088.0,41136.0,2071.0,2397865.0,efferent,descending,,,11314.0,DNae003,PS040,WEDd1,DALd,acetylcholine,0.6735150518276354,,,left,CV,fw000953,FBbt_00047512,,isomorphic,,,
78535092317951076,720575940629327659,115124.0,59902.0,3213.0,101328.0,42752.0,2106.0,2434497.0,efferent,descending,,,10360.0,DNa02,DNa02,WEDd1,DALd,acetylcholine,0.7941235871987472,acetylcholine,"Cheong et al., 2023 (EASI-FISH)",left,CV,fw003628,FBbt_00047573,,isomorphic,,,
79098111259138593,720575940615043368,123176.0,61040.0,5167.0,123176.0,61040.0,5167.0,3730080.0,efferent,descending,,,,DNp22,,putative_primary,putative_primary,acetylcholine,0.5936953449015137,,,left,CV,fw003785,FBbt_00047655,,isomorphic,,,
79240841277022277,720575940638664355,125832.0,90184.0,3045.0,125832.0,90184.0,3045.0,4704260.0,efferent,descending,,,13133.0,DNg46,,MX3,MX3,glutamate,0.637177081347679,,,left,CV,fw004844,FBbt_00047516,,isomorphic,,,
80786205205520659,720575940636592302,147408.0,48984.0,5427.0,147408.0,48984.0,5427.0,5732203.0,efferent,descending,,,,DNpe019,PS296,putative_primary,putative_primary,acetylcholine,0.650513997819368,,,right,CV,fw005200,FBbt_00047517,,isomorphic,,,
80718447667453899,720575940621325034,147227.0,88287.0,4572.0,156024.0,83432.0,4190.0,6517843.0,efferent,descending,,,14569.0,DNg04,,LB12,LB12,acetylcholine,0.6241510558343283,,,right,CV,fw005343,FBbt_00047593,,isomorphic,,fru,Cachero 2010: pSG-b
80856573882590026,720575940628132745,148984.0,48888.0,4909.0,148984.0,48888.0,4909.0,6369377.0,efferent,descending,,,,DNp31,DNp31,putative_primary,putative_primary,acetylcholine,0.6636929990441915,,,right,CV,fw007117,FBbt_00047664,,isomorphic,,,
78888310630044203,720575940643817888,120674.0,80447.0,5030.0,126088.0,86640.0,5138.0,4707263.0,efferent,descending,,,14569.0,DNg04,,LB12,LB12,acetylcholine,0.6152006633785639,,,left,CV,fw008355,FBbt_00047596,,isomorphic,,fru,Cachero 2010: pSG-b
80155291689471638,720575940617249254,139152.0,84888.0,5309.0,139152.0,84888.0,5309.0,5348888.0,efferent,descending,,,11211.0,DNge086,,LB6,LB6,acetylcholine,0.4200071121981218,,,right,CV,fw010981,FBbt_00047516,,isomorphic,,,
81351285395276374,720575940634428058,155744.0,80984.0,4678.0,155744.0,80984.0,4678.0,6475190.0,efferent,descending,,,11458.0,DNge043,hb1499778528,LB3__prim,putative_primary,gaba,0.4135299721300461,,,right,CV,fw011003,FBbt_00047516,,isomorphic,,,
81067680115361935,720575940627732361,152064.0,49016.0,5050.0,152064.0,49016.0,5050.0,6370662.0,efferent,descending,,,,DNp26,DNp26,putative_primary,putative_primary,acetylcholine,0.7143791713320087,,,right,CV,fw011071,FBbt_00047659,,isomorphic,,,
80788679039581695,720575940634825879,147576.0,85688.0,4928.0,147576.0,85688.0,4928.0,5875065.0,efferent,descending,,,14873.0,DNge045,,LB3,LB3,acetylcholine,0.4133393980470374,,,right,CV,fw011188,FBbt_00047516,,isomorphic,,,
78746129897978177,720575940634140883,118377.0,58368.0,3617.0,100976.0,41072.0,1964.0,2387711.0,efferent,descending,,,10090.0,DNa09,DNa09,WEDd1,DALd,acetylcholine,0.6117484847355326,,,left,CV,fw011258,FBbt_00047580,,potentially sexually dimorphic,,,
78888379349556832,720575940610348458,120716.0,80982.0,5027.0,123640.0,87936.0,4837.0,4706638.0,efferent,descending,,,20923.0,DNg110,,LB12,LB12,,,,,left,CV,fw011479,FBbt_00047598,,isomorphic,,,
78817048465137926,720575940651341558,119294.0,66738.0,4185.0,104608.0,40808.0,1981.0,2398355.0,efferent,descending,,,10543.0,DNae010,PS016,WEDd1,DALd,acetylcholine,0.5971652786102315,,,left,CV,fw012648,FBbt_00047512,,isomorphic,,,
81067198742871711,720575940620711334,152486.0,41995.0,2086.0,155816.0,42864.0,804.0,6363885.0,efferent,descending,,,10090.0,DNa09,DNa09,WEDd1,DALd,acetylcholine,0.7105630982539142,,,right,CV,fw013301,FBbt_00047580,,potentially sexually dimorphic,,,
78888310630036679,720575940627021349,120408.0,80489.0,5027.0,125984.0,88104.0,4919.0,4707199.0,efferent,descending,,,20923.0,DNg110,,LB12,LB12,acetylcholine,0.4370685629158426,,,left,CV,fw017181,FBbt_00047598,,isomorphic,,,
80577160490217862,720575940656144289,144812.0,80154.0,4954.0,153376.0,85704.0,4292.0,6517110.0,efferent,descending,,,20923.0,DNg110,,LB12,LB12,acetylcholine,0.547972577824955,,,right,CV,fw018962,FBbt_00047598,,isomorphic,,,
78888310630055750,720575940626088835,120253.0,80291.0,5030.0,120920.0,87888.0,4892.0,3825869.0,efferent,descending,,,20923.0,DNg110,,LB12,LB12,acetylcholine,0.2985913643422235,,,left,CV,fw021122,FBbt_00047598,,isomorphic,,,
80577160490221679,720575940635222640,145287.0,79962.0,4957.0,157328.0,83952.0,4239.0,6964783.0,efferent,descending,,,20923.0,DNg110,,LB12,LB12,acetylcholine,0.7203956791279083,,,right,CV,fw021180,FBbt_00047598,,isomorphic,,,
79449404687270218,720575940632868051,128912.0,52576.0,1046.0,128912.0,52576.0,1046.0,4521892.0,efferent,descending,,,,DNbe001,PS103,putative_primary,putative_primary,acetylcholine,0.6659683866303248,,,left,CV,fw023857,FBbt_00047513,,isomorphic,,,
80577160490215438,720575940623491987,144784.0,80276.0,4954.0,152704.0,85752.0,4428.0,6516968.0,efferent,descending,,,20923.0,DNg110,,LB12,LB12,acetylcholine,0.6173711913940131,,,right,CV,fw024939,FBbt_00047598,,isomorphic,,,
78674799282550292,720575940612682467,117480.0,43984.0,5245.0,117480.0,43984.0,5245.0,3672811.0,efferent,descending,,,,DNp51,PS296,putative_primary,putative_primary,acetylcholine,0.5921071130786574,,,left,CV,fw027204,FBbt_00047517,,isomorphic,,,
78604636763748234,720575940627620593,116496.0,47488.0,5649.0,116496.0,47488.0,5649.0,3672485.0,efferent,descending,,,,DNpe019,PS296,putative_primary,putative_primary,acetylcholine,0.6658302837932405,,,left,CV,fw028445,FBbt_00047517,,isomorphic,,,
81137567487046166,720575940627946261,152564.0,41699.0,2086.0,161496.0,42840.0,1009.0,6815556.0,efferent,descending,,,10090.0,DNa10,DNa10,WEDd1,DALd,acetylcholine,0.6840797225724883,acetylcholine,"Cheong et al., 2023 (EASI-FISH)",right,CV,fw002933,FBbt_00047581,,isomorphic,,,
80856299071480805,720575940636651376,149144.0,45632.0,5201.0,149144.0,45632.0,5201.0,6372587.0,efferent,descending,,,,DNp51,PS296,putative_primary,putative_primary,acetylcholine,0.6013303138798034,,,right,CV,fw029352,FBbt_00047517,,isomorphic,,,
78888928769253044,720575940624448956,120208.0,88968.0,2529.0,120208.0,88968.0,2529.0,3823069.0,efferent,descending,,,14046.0,DNg42,,MX3,MX3,glutamate,0.5688255214464402,,,left,CV,fw029498,FBbt_00047516,,isomorphic,,,
78042442254892934,720575940634163682,107616.0,58984.0,2106.0,107616.0,58984.0,2106.0,3102285.0,efferent,descending,,,,DNb03,DNb03,putative_primary,putative_primary,acetylcholine,0.8797841979539885,,,left,CV,fw029776,FBbt_00047584,,isomorphic,,,
80225728884651902,720575940615108714,140148.0,86415.0,3263.0,140456.0,90696.0,2531.0,5997280.0,efferent,descending,,,13133.0,DNg46,,MX3,MX3,glutamate,0.6282910968171612,,,right,CV,fw002691,FBbt_00047516,,isomorphic,,,
79944460268028971,720575940624968013,136064.0,89344.0,5032.0,136064.0,89344.0,5032.0,5343665.0,efferent,descending,,,14569.0,DNg04,,LB12,LB12,acetylcholine,0.5425554539229523,,,right,CV,fw031724,FBbt_00047596,,isomorphic,,fru,Cachero 2010: pSG-b
79733285382855817,720575940609589443,132464.0,87856.0,5341.0,132464.0,87856.0,5341.0,5344889.0,efferent,descending,,,14357.0,DNg05_a,,LB12,LB12,acetylcholine,0.5218671264901753,,,left,CV,fw032103,"FBbt_00051904, FBbt_00047597",,isomorphic,,,
77901704699961762,720575940620776880,105864.0,58208.0,1991.0,105864.0,58208.0,1991.0,2534168.0,efferent,descending,,,,DNb03,DNb03,putative_primary,putative_primary,acetylcholine,0.8899395068043566,,,left,CV,fw032364,FBbt_00047584,,isomorphic,,,
80647460514909353,720575940627731176,146105.0,79476.0,4954.0,158248.0,83624.0,4211.0,6964960.0,efferent,descending,,,14357.0,DNg05_a,,LB12,LB12,acetylcholine,0.796531750829751,,,right,CV,fw032622,"FBbt_00051904, FBbt_00047597",,isomorphic,,,
80225728884649047,720575940621336852,140133.0,86344.0,3260.0,141376.0,90680.0,2343.0,5998510.0,efferent,descending,,,14046.0,DNg42,,MX3,MX3,glutamate,0.7184547552216298,,,right,CV,fw033297,FBbt_00047516,,isomorphic,,,
79240360509344191,720575940612366322,125439.0,83169.0,5000.0,103080.0,75152.0,4892.0,2698483.0,efferent,descending,,,14873.0,DNge045,,LB3,LB3,acetylcholine,0.5358152561021975,,,left,CV,fw033749,FBbt_00047516,,isomorphic,,,
77832779198863418,720575940628441862,105280.0,80376.0,2913.0,105280.0,80376.0,2913.0,2685524.0,efferent,descending,,,,DNge026,,putative_primary,putative_primary,glutamate,0.4978346871812861,,,left,CV,fw033903,FBbt_00047516,,isomorphic,,,
81490648024613488,720575940627997050,158016.0,60736.0,1287.0,158016.0,60736.0,1287.0,6860886.0,efferent,descending,,,,DNb03,DNb03,putative_primary,putative_primary,acetylcholine,0.8751210009879646,,,right,CV,fw034093,FBbt_00047584,,isomorphic,,,
78958748093699785,720575940624082931,120807.0,80578.0,5030.0,104392.0,78360.0,4786.0,2699338.0,efferent,descending,,,14569.0,DNg04,,LB12,LB12,acetylcholine,0.6565216010561359,,,left,CV,fw034273,FBbt_00047593,,isomorphic,,fru,Cachero 2010: pSG-b
77972142230441142,720575940625878160,106488.0,59896.0,2278.0,106488.0,59896.0,2278.0,2535644.0,efferent,descending,,,,DNb01,DNb01,putative_primary,putative_primary,glutamate,0.8647404131665039,glutamate,"Cheong et al., 2023 (EASI-FISH)",left,CV,fw002440,FBbt_00047582,,isomorphic,,,
81562597518150631,720575940606342089,159480.0,83792.0,2881.0,159480.0,83792.0,2881.0,6957291.0,efferent,descending,,,,DNg78,,putative_primary,putative_primary,acetylcholine,0.8716042872196387,,,right,CV,fw034542,FBbt_00047516,,isomorphic,,,
81632691451612994,720575940622037926,159728.0,80008.0,3477.0,159728.0,80008.0,3477.0,6917903.0,efferent,descending,,,,DNg41,,putative_primary,putative_primary,acetylcholine,0.5622594848451485,,,right,CV,fw034647,FBbt_00047633,,isomorphic,,,
81560948049035129,720575940611016910,158672.0,59768.0,1088.0,158672.0,59768.0,1088.0,6860947.0,efferent,descending,,,,DNb03,DNb03,putative_primary,putative_primary,acetylcholine,0.8740495430131815,,,right,CV,fw034659,FBbt_00047584,,isomorphic,,,
78114322894967172,720575940611956197,108824.0,81064.0,2816.0,108824.0,81064.0,2816.0,3196808.0,efferent,descending,,,,DNg78,,putative_primary,putative_primary,acetylcholine,0.6085703390451832,,,left,CV,fw034666,FBbt_00047516,,isomorphic,,,
79099897898895172,720575940622147873,123464.0,87448.0,5028.0,123464.0,87448.0,5028.0,4706610.0,efferent,descending,,,11458.0,DNge043,hb1499778528,LB3__prim,putative_primary,gaba,0.3958914899941227,,,left,CV,fw034702,FBbt_00047516,,isomorphic,,,
77480660734189990,720575940636329579,99280.0,76016.0,3828.0,99280.0,76016.0,3828.0,2688075.0,efferent,descending,,,,DNg41,,putative_primary,putative_primary,glutamate,0.518114872615264,,,left,CV,fw034851,FBbt_00047633,,isomorphic,,,
78888035818751014,720575940646443316,120239.0,76389.0,5162.0,103920.0,79784.0,4397.0,2698879.0,efferent,descending,,,11211.0,DNge086,,LB6,LB6,gaba,0.5551998427897182,,,left,CV,fw034977,FBbt_00047516,,isomorphic,,,
78887417209750430,720575940632962786,119947.0,66433.0,4516.0,101304.0,40176.0,1844.0,2388499.0,efferent,descending,,,10543.0,DNa16,PS014,WEDd1,DALd,acetylcholine,0.7563913653909572,,,left,CV,fw035190,FBbt_00047512,,isomorphic,,,
78676173537828961,720575940627139530,116879.0,64542.0,4214.0,105072.0,36336.0,1709.0,2398451.0,efferent,descending,,,10543.0,DNae002,DNa04,WEDd1,DALd,acetylcholine,0.7512410546899679,,,left,CV,fw035300,FBbt_00047512,,isomorphic,,,
81632897743934840,720575940633178508,160528.0,82776.0,4222.0,160528.0,82776.0,4222.0,6965329.0,efferent,descending,,,10668.0,DNge006,,LB11,putative_primary,acetylcholine,0.8501133745899546,,,right,CV,fw035536,FBbt_00047516,,isomorphic,,,
80998273510601758,720575940631225996,150640.0,63976.0,5290.0,150640.0,63976.0,5290.0,6407438.0,efferent,descending,,,,DNp22,,putative_primary,putative_primary,acetylcholine,0.6271119244348976,,,right,CV,fw035665,FBbt_00047655,,isomorphic,,,
78605460995528527,720575940613408552,116158.0,59665.0,3067.0,105480.0,39592.0,1681.0,2398626.0,efferent,descending,,,10360.0,DNa13,LAL041,WEDd1,DALd,acetylcholine,0.7641862858840088,,,left,CV,fw035687,"FBbt_20001337,FBbt_00047512",,isomorphic,,,
78887005026949842,720575940616293855,119984.0,60104.0,5404.0,119984.0,60104.0,5404.0,3728502.0,efferent,descending,,,,DNp15,DNp15,putative_primary,putative_primary,acetylcholine,0.7098878465098594,,,left,CV,fw035708,FBbt_00047648,,isomorphic,,,
81491747939064839,720575940627826760,157928.0,76872.0,4485.0,157928.0,76872.0,4485.0,6920271.0,efferent,descending,,,10216.0,DNge037,,LB7__prim,LB7__prim,acetylcholine,0.794696682833693,,,right,CV,fw035873,FBbt_00047516,,isomorphic,,,
78816498575193012,720575940611735514,119434.0,58004.0,3192.0,105024.0,43640.0,1576.0,2440647.0,efferent,descending,,,10360.0,DNa11,VES008,WEDd1,DALd,acetylcholine,0.7509317507724427,,,left,CV,fw035929,FBbt_00047512,,isomorphic,,,
81068367376733333,720575940623431351,151976.0,59152.0,5230.0,151976.0,59152.0,5230.0,6408664.0,efferent,descending,,,,DNp15,DNp15,putative_primary,putative_primary,acetylcholine,0.7525971575167125,,,right,CV,fw036254,FBbt_00047648,,isomorphic,,,
