visual_type,dn_type,firing_count
T4a,DNa02,0
T4a,DNa03,0
T4a,DNa09,0
T4a,DNa10,0
T4a,DNa11,0
T4a,DNa13,0
T4a,DNa16,0
T4a,DNae002,0
T4a,DNae003,0
T4a,DNae010,0
T4a,DNb01,0
T4a,DNb03,0
T4a,DNbe001,0
T4a,DNg04,0
T4a,DNg05_a,0
T4a,DNg110,0
T4a,DNg41,0
T4a,DNg42,0
T4a,DNg46,0
T4a,DNg71,0
T4a,DNg78,0
T4a,DNge006,0
T4a,DNge026,0
T4a,DNge037,0
T4a,DNge043,0
T4a,DNge045,0
T4a,DNge086,0
T4a,DNp15,0
T4a,DNp18,0
T4a,DNp22,0
T4a,DNp26,0
T4a,DNp31,0
T4a,DNp51,0
T4a,DNpe019,0
T4b,DNa02,0
T4b,DNa03,0
T4b,DNa09,0
T4b,DNa10,0
T4b,DNa11,0
T4b,DNa13,0
T4b,DNa16,0
T4b,DNae002,0
T4b,DNae003,0
T4b,DNae010,0
T4b,DNb01,0
T4b,DNb03,0
T4b,DNbe001,0
T4b,DNg04,0
T4b,DNg05_a,0
T4b,DNg110,0
T4b,DNg41,0
T4b,DNg42,0
T4b,DNg46,0
T4b,DNg71,0
T4b,DNg78,0
T4b,DNge006,0
T4b,DNge026,0
T4b,DNge037,0
T4b,DNge043,0
T4b,DNge045,0
T4b,DNge086,0
T4b,DNp15,0
T4b,DNp18,0
T4b,DNp22,0
T4b,DNp26,0
T4b,DNp31,0
T4b,DNp51,0
T4b,DNpe019,0
T4c,DNa02,0
T4c,DNa03,0
T4c,DNa09,0
T4c,DNa10,0
T4c,DNa11,0
T4c,DNa13,0
T4c,DNa16,0
T4c,DNae002,0
T4c,DNae003,0
T4c,DNae010,0
T4c,DNb01,0
T4c,DNb03,0
T4c,DNbe001,0
T4c,DNg04,0
T4c,DNg05_a,0
T4c,DNg110,0
T4c,DNg41,0
T4c,DNg42,0
T4c,DNg46,0
T4c,DNg71,0
T4c,DNg78,0
T4c,DNge006,0
T4c,DNge026,0
T4c,DNge037,0
T4c,DNge043,0
T4c,DNge045,0
T4c,DNge086,0
T4c,DNp15,0
T4c,DNp18,0
T4c,DNp22,0
T4c,DNp26,0
T4c,DNp31,0
T4c,DNp51,0
T4c,DNpe019,0
T4d,DNa02,0
T4d,DNa03,0
T4d,DNa09,0
T4d,DNa10,0
T4d,DNa11,0
T4d,DNa13,0
T4d,DNa16,0
T4d,DNae002,0
T4d,DNae003,0
T4d,DNae010,0
T4d,DNb01,0
T4d,DNb03,0
T4d,DNbe001,0
T4d,DNg04,0
T4d,DNg05_a,0
T4d,DNg110,0
T4d,DNg41,0
T4d,DNg42,0
T4d,DNg46,0
T4d,DNg71,0
T4d,DNg78,0
T4d,DNge006,0
T4d,DNge026,0
T4d,DNge037,0
T4d,DNge043,0
T4d,DNge045,0
T4d,DNge086,0
T4d,DNp15,0
T4d,DNp18,0
T4d,DNp22,0
T4d,DNp26,0
T4d,DNp31,0
