visual_type,visual_root_id,dn_type,dn_root_id,hops,bottleneck,total_synapses,path
T4a,720575940605852192,DNp15,720575940623431351,5,37,4417,T4a -> LPi14 -> Am1 -> LPi15 -> HSE -> DNp15
T4a,720575940605852192,DNp15,720575940623431351,5,37,4353,T4a -> LPi14 -> Am1 -> LPi15 -> HSN -> DNp15
T4a,720575940605852192,DNp18,720575940627949589,5,37,4260,T4a -> LPi14 -> Am1 -> LPi15 -> HSN -> DNp18
T4a,720575940605852192,DNae002,720575940620380449,5,37,4252,T4a -> LPi14 -> Am1 -> LPi15 -> HSN -> DNae002
T4a,720575940605852192,DNae010,720575940630868281,5,37,4248,T4a -> LPi14 -> Am1 -> LPi15 -> HSN -> DNae010
T4a,720575940605852192,DNp26,720575940627732361,5,37,4148,T4a -> LPi14 -> Am1 -> LPi15 -> LPT26 -> DNp26
T4a,720575940605852192,DNae002,720575940620380449,5,37,2770,T4a -> LPi14 -> Am1 -> DCH -> LPT22 -> DNae002
T4a,720575940605852192,DNae002,720575940620380449,5,37,2450,T4a -> LPi14 -> Am1 -> VCH -> LPT22 -> DNae002
T4a,720575940605852192,DNp31,720575940632189900,5,37,2129,T4a -> LPi14 -> Am1 -> LPT23 -> vCal1 -> DNp31
T4a,720575940605852192,DNp31,720575940628132745,5,37,2008,T4a -> LPi14 -> Am1 -> LPT23 -> vCal1 -> DNp31
T4a,720575940617407705,DNp15,720575940623431351,5,39,4419,T4a -> LPi14 -> Am1 -> LPi15 -> HSE -> DNp15
T4a,720575940617407705,DNp15,720575940623431351,5,39,4355,T4a -> LPi14 -> Am1 -> LPi15 -> HSN -> DNp15
T4a,720575940617407705,DNp18,720575940627949589,5,39,4262,T4a -> LPi14 -> Am1 -> LPi15 -> HSN -> DNp18
T4a,720575940617407705,DNae002,720575940620380449,5,39,4254,T4a -> LPi14 -> Am1 -> LPi15 -> HSN -> DNae002
T4a,720575940617407705,DNae010,720575940630868281,5,39,4250,T4a -> LPi14 -> Am1 -> LPi15 -> HSN -> DNae010
T4a,720575940617407705,DNp26,720575940627732361,5,39,4150,T4a -> LPi14 -> Am1 -> LPi15 -> LPT26 -> DNp26
T4a,720575940617407705,DNae002,720575940620380449,5,39,2772,T4a -> LPi14 -> Am1 -> DCH -> LPT22 -> DNae002
T4a,720575940617407705,DNae002,720575940620380449,5,39,2452,T4a -> LPi14 -> Am1 -> VCH -> LPT22 -> DNae002
T4a,720575940617407705,DNp31,720575940632189900,5,39,2131,T4a -> LPi14 -> Am1 -> LPT23 -> vCal1 -> DNp31
T4a,720575940617407705,DNp31,720575940628132745,5,39,2010,T4a -> LPi14 -> Am1 -> LPT23 -> vCal1 -> DNp31
T4a,720575940629088508,DNp15,720575940623431351,5,27,4539,T4a -> LPi14 -> Am1 -> LPi15 -> HSE -> DNp15
T4a,720575940629088508,DNp15,720575940623431351,5,27,4475,T4a -> LPi14 -> Am1 -> LPi15 -> HSN -> DNp15
T4a,720575940629088508,DNp18,720575940627949589,5,27,4382,T4a -> LPi14 -> Am1 -> LPi15 -> HSN -> DNp18
T4a,720575940629088508,DNae002,720575940620380449,5,27,4374,T4a -> LPi14 -> Am1 -> LPi15 -> HSN -> DNae002
T4a,720575940629088508,DNae010,720575940630868281,5,27,4370,T4a -> LPi14 -> Am1 -> LPi15 -> HSN -> DNae010
T4a,720575940629088508,DNp26,720575940627732361,5,27,4270,T4a -> LPi14 -> Am1 -> LPi15 -> LPT26 -> DNp26
T4a,720575940629088508,DNae002,720575940620380449,5,27,2892,T4a -> LPi14 -> Am1 -> DCH -> LPT22 -> DNae002
T4a,720575940629088508,DNae002,720575940620380449,5,27,2572,T4a -> LPi14 -> Am1 -> VCH -> LPT22 -> DNae002
T4a,720575940629088508,DNp31,720575940632189900,5,27,2251,T4a -> LPi14 -> Am1 -> LPT23 -> vCal1 -> DNp31
T4a,720575940629088508,DNp31,720575940628132745,5,27,2130,T4a -> LPi14 -> Am1 -> LPT23 -> vCal1 -> DNp31
T4a,720575940654955937,DNp15,720575940623431351,5,22,4534,T4a -> LPi14 -> Am1 -> LPi15 -> HSE -> DNp15
T4a,720575940654955937,DNp15,720575940623431351,5,22,4470,T4a -> LPi14 -> Am1 -> LPi15 -> HSN -> DNp15
T4a,720575940654955937,DNp18,720575940627949589,5,22,4377,T4a -> LPi14 -> Am1 -> LPi15 -> HSN -> DNp18
T4a,720575940654955937,DNae002,720575940620380449,5,22,4369,T4a -> LPi14 -> Am1 -> LPi15 -> HSN -> DNae002
T4a,720575940654955937,DNae010,720575940630868281,5,22,4365,T4a -> LPi14 -> Am1 -> LPi15 -> HSN -> DNae010
T4a,720575940654955937,DNp26,720575940627732361,5,22,4265,T4a -> LPi14 -> Am1 -> LPi15 -> LPT26 -> DNp26
T4a,720575940654955937,DNae002,720575940620380449,5,22,2887,T4a -> LPi14 -> Am1 -> DCH -> LPT22 -> DNae002
T4a,720575940654955937,DNae002,720575940620380449,5,22,2567,T4a -> LPi14 -> Am1 -> VCH -> LPT22 -> DNae002
T4a,720575940654955937,DNp31,720575940632189900,5,22,2246,T4a -> LPi14 -> Am1 -> LPT23 -> vCal1 -> DNp31
T4a,720575940654955937,DNp31,720575940628132745,5,22,2125,T4a -> LPi14 -> Am1 -> LPT23 -> vCal1 -> DNp31
T4a,720575940640283701,DNp15,720575940623431351,5,32,4544,T4a -> LPi14 -> Am1 -> LPi15 -> HSE -> DNp15
T4a,720575940640283701,DNp15,720575940623431351,5,32,4480,T4a -> LPi14 -> Am1 -> LPi15 -> HSN -> DNp15
T4a,720575940640283701,DNp18,720575940627949589,5,32,4387,T4a -> LPi14 -> Am1 -> LPi15 -> HSN -> DNp18
T4a,720575940640283701,DNae002,720575940620380449,5,32,4379,T4a -> LPi14 -> Am1 -> LPi15 -> HSN -> DNae002
T4a,720575940640283701,DNae010,720575940630868281,5,32,4375,T4a -> LPi14 -> Am1 -> LPi15 -> HSN -> DNae010
T4a,720575940640283701,DNp26,720575940627732361,5,32,4275,T4a -> LPi14 -> Am1 -> LPi15 -> LPT26 -> DNp26
T4a,720575940640283701,DNae002,720575940620380449,5,32,2897,T4a -> LPi14 -> Am1 -> DCH -> LPT22 -> DNae002
T4a,720575940640283701,DNae002,720575940620380449,5,32,2577,T4a -> LPi14 -> Am1 -> VCH -> LPT22 -> DNae002
T4a,720575940640283701,DNp31,720575940632189900,5,32,2256,T4a -> LPi14 -> Am1 -> LPT23 -> vCal1 -> DNp31
T4a,720575940640283701,DNp31,720575940628132745,5,32,2135,T4a -> LPi14 -> Am1 -> LPT23 -> vCal1 -> DNp31
T4a,720575940640779984,DNp15,720575940623431351,5,28,4408,T4a -> LPi14 -> Am1 -> LPi15 -> HSE -> DNp15
T4a,720575940640779984,DNp15,720575940623431351,5,28,4344,T4a -> LPi14 -> Am1 -> LPi15 -> HSN -> DNp15
T4a,720575940640779984,DNp18,720575940627949589,5,28,4251,T4a -> LPi14 -> Am1 -> LPi15 -> HSN -> DNp18
T4a,720575940640779984,DNae002,720575940620380449,5,28,4243,T4a -> LPi14 -> Am1 -> LPi15 -> HSN -> DNae002
T4a,720575940640779984,DNae010,720575940630868281,5,28,4239,T4a -> LPi14 -> Am1 -> LPi15 -> HSN -> DNae010
T4a,720575940640779984,DNp26,720575940627732361,5,28,4139,T4a -> LPi14 -> Am1 -> LPi15 -> LPT26 -> DNp26
T4a,720575940640779984,DNae002,720575940620380449,5,28,2761,T4a -> LPi14 -> Am1 -> DCH -> LPT22 -> DNae002
T4a,720575940640779984,DNae002,720575940620380449,5,28,2441,T4a -> LPi14 -> Am1 -> VCH -> LPT22 -> DNae002
T4a,720575940640779984,DNp31,720575940632189900,5,28,2120,T4a -> LPi14 -> Am1 -> LPT23 -> vCal1 -> DNp31
T4a,720575940640779984,DNp31,720575940628132745,5,28,1999,T4a -> LPi14 -> Am1 -> LPT23 -> vCal1 -> DNp31
T4a,720575940626623516,DNp15,720575940623431351,5,30,4410,T4a -> LPi14 -> Am1 -> LPi15 -> HSE -> DNp15
T4a,720575940626623516,DNp15,720575940623431351,5,30,4346,T4a -> LPi14 -> Am1 -> LPi15 -> HSN -> DNp15
T4a,720575940626623516,DNp18,720575940627949589,5,30,4253,T4a -> LPi14 -> Am1 -> LPi15 -> HSN -> DNp18
T4a,720575940626623516,DNae002,720575940620380449,5,30,4245,T4a -> LPi14 -> Am1 -> LPi15 -> HSN -> DNae002
T4a,720575940626623516,DNae010,720575940630868281,5,30,4241,T4a -> LPi14 -> Am1 -> LPi15 -> HSN -> DNae010
