visual_type,visual_root_id,dn_type,dn_root_id,hops,path_strength,min_edge_weight,path,edge_weights
T4a,720575940605852192,DNp15,720575940623431351,5,4.6107265329868305e-06,0.028450008906532306,T4a -> LPi14 -> Am1 -> LPi15 -> HSE -> DNp15,"0.31092437,0.07629601,0.05724515,0.02845001,0.11934156"
T4a,720575940605852192,DNp15,720575940623431351,5,5.060091400004862e-06,0.026032521566531797,T4a -> LPi14 -> Am1 -> LPi15 -> HSN -> DNp15,"0.31092437,0.07629601,0.05724515,0.02603252,0.14313535"
T4a,720575940605852192,DNp18,720575940627949589,5,1.8588090857160718e-06,0.026032521566531797,T4a -> LPi14 -> Am1 -> LPi15 -> HSN -> DNp18,"0.31092437,0.07629601,0.05724515,0.02603252,0.05258033"
T4a,720575940605852192,DNae002,720575940620380449,5,1.5834299619062834e-06,0.026032521566531797,T4a -> LPi14 -> Am1 -> LPi15 -> HSN -> DNae002,"0.31092437,0.07629601,0.05724515,0.02603252,0.04479065"
T4a,720575940605852192,DNae010,720575940630868281,5,1.4457404000013891e-06,0.026032521566531797,T4a -> LPi14 -> Am1 -> LPi15 -> HSN -> DNae010,"0.31092437,0.07629601,0.05724515,0.02603252,0.04089581"
T4a,720575940605852192,DNp26,720575940627732361,5,1.5172388102569062e-06,0.02147746647326768,T4a -> LPi14 -> Am1 -> LPi15 -> LPT26 -> DNp26,"0.31092437,0.07629601,0.05724515,0.02147747,0.05202064"
T4a,720575940605852192,DNae002,720575940620380449,5,1.7740607499302095e-07,0.008837947938962922,T4a -> LPi14 -> Am1 -> DCH -> LPT22 -> DNae002,"0.31092437,0.07629601,0.03200376,0.00883795,0.02643988"
T4a,720575940605852192,DNae002,720575940620380449,5,9.623169690741515e-08,0.007047707558859975,T4a -> LPi14 -> Am1 -> VCH -> LPT22 -> DNae002,"0.31092437,0.07629601,0.02176979,0.00704771,0.02643988"
T4a,720575940605852192,DNp31,720575940632189900,5,2.705933315654006e-07,0.008570498680070879,T4a -> LPi14 -> Am1 -> LPT23 -> vCal1 -> DNp31,"0.31092437,0.07629601,0.00857050,0.01423488,0.09349766"
T4a,720575940605852192,DNp31,720575940628132745,5,1.2176699920443024e-07,0.008570498680070879,T4a -> LPi14 -> Am1 -> LPT23 -> vCal1 -> DNp31,"0.31092437,0.07629601,0.00857050,0.01423488,0.04207395"
T4a,720575940617407705,DNp15,720575940623431351,5,3.5264307580078908e-06,0.028450008906532306,T4a -> LPi14 -> Am1 -> LPi15 -> HSE -> DNp15,"0.23780488,0.07629601,0.05724515,0.02845001,0.11934156"
T4a,720575940617407705,DNp15,720575940623431351,5,3.870119345323428e-06,0.026032521566531797,T4a -> LPi14 -> Am1 -> LPi15 -> HSN -> DNp15,"0.23780488,0.07629601,0.05724515,0.02603252,0.14313535"
T4a,720575940617407705,DNp18,720575940627949589,5,1.4216764942004433e-06,0.026032521566531797,T4a -> LPi14 -> Am1 -> LPi15 -> HSN -> DNp18,"0.23780488,0.07629601,0.05724515,0.02603252,0.05258033"
T4a,720575940617407705,DNae002,720575940620380449,5,1.211057754318896e-06,0.026032521566531797,T4a -> LPi14 -> Am1 -> LPi15 -> HSN -> DNae002,"0.23780488,0.07629601,0.05724515,0.02603252,0.04479065"
T4a,720575940617407705,DNae010,720575940630868281,5,1.1057483843781225e-06,0.026032521566531797,T4a -> LPi14 -> Am1 -> LPi15 -> HSN -> DNae010,"0.23780488,0.07629601,0.05724515,0.02603252,0.04089581"
T4a,720575940617407705,DNp26,720575940627732361,5,1.1604326497037413e-06,0.02147746647326768,T4a -> LPi14 -> Am1 -> LPi15 -> LPT26 -> DNp26,"0.23780488,0.07629601,0.05724515,0.02147747,0.05202064"
T4a,720575940617407705,DNae002,720575940620380449,5,1.3568582630893377e-07,0.008837947938962922,T4a -> LPi14 -> Am1 -> DCH -> LPT22 -> DNae002,"0.23780488,0.07629601,0.03200376,0.00883795,0.02643988"
T4a,720575940617407705,DNae002,720575940620380449,5,7.360107207437604e-08,0.007047707558859975,T4a -> LPi14 -> Am1 -> VCH -> LPT22 -> DNae002,"0.23780488,0.07629601,0.02176979,0.00704771,0.02643988"
T4a,720575940617407705,DNp31,720575940632189900,5,2.0695841328197495e-07,0.008570498680070879,T4a -> LPi14 -> Am1 -> LPT23 -> vCal1 -> DNp31,"0.23780488,0.07629601,0.00857050,0.01423488,0.09349766"
T4a,720575940617407705,DNp31,720575940628132745,5,9.313128597688873e-08,0.008570498680070879,T4a -> LPi14 -> Am1 -> LPT23 -> vCal1 -> DNp31,"0.23780488,0.07629601,0.00857050,0.01423488,0.04207395"
T4a,720575940629088508,DNp15,720575940623431351,5,3.5301790517264053e-06,0.028450008906532306,T4a -> LPi14 -> Am1 -> LPi15 -> HSE -> DNp15,"0.22314050,0.08139647,0.05724515,0.02845001,0.11934156"
T4a,720575940629088508,DNp15,720575940623431351,5,3.874232950559838e-06,0.026032521566531797,T4a -> LPi14 -> Am1 -> LPi15 -> HSN -> DNp15,"0.22314050,0.08139647,0.05724515,0.02603252,0.14313535"
T4a,720575940629088508,DNp18,720575940627949589,5,1.4231876144913695e-06,0.026032521566531797,T4a -> LPi14 -> Am1 -> LPi15 -> HSN -> DNp18,"0.22314050,0.08139647,0.05724515,0.02603252,0.05258033"
T4a,720575940629088508,DNae002,720575940620380449,5,1.2123450049370925e-06,0.026032521566531797,T4a -> LPi14 -> Am1 -> LPi15 -> HSN -> DNae002,"0.22314050,0.08139647,0.05724515,0.02603252,0.04479065"
T4a,720575940629088508,DNae010,720575940630868281,5,1.1069237001599539e-06,0.026032521566531797,T4a -> LPi14 -> Am1 -> LPi15 -> HSN -> DNae010,"0.22314050,0.08139647,0.05724515,0.02603252,0.04089581"
T4a,720575940629088508,DNp26,720575940627732361,5,1.1616660901737595e-06,0.02147746647326768,T4a -> LPi14 -> Am1 -> LPi15 -> LPT26 -> DNp26,"0.22314050,0.08139647,0.05724515,0.02147747,0.05202064"
T4a,720575940629088508,DNae002,720575940620380449,5,1.3583004871548194e-07,0.008837947938962922,T4a -> LPi14 -> Am1 -> DCH -> LPT22 -> DNae002,"0.22314050,0.08139647,0.03200376,0.00883795,0.02643988"
T4a,720575940629088508,DNae002,720575940620380449,5,7.367930370716958e-08,0.007047707558859975,T4a -> LPi14 -> Am1 -> VCH -> LPT22 -> DNae002,"0.22314050,0.08139647,0.02176979,0.00704771,0.02643988"
T4a,720575940629088508,DNp31,720575940632189900,5,2.0717839234118013e-07,0.008570498680070879,T4a -> LPi14 -> Am1 -> LPT23 -> vCal1 -> DNp31,"0.22314050,0.08139647,0.00857050,0.01423488,0.09349766"
T4a,720575940629088508,DNp31,720575940628132745,5,9.323027655353106e-08,0.008570498680070879,T4a -> LPi14 -> Am1 -> LPT23 -> vCal1 -> DNp31,"0.22314050,0.08139647,0.00857050,0.01423488,0.04207395"
T4a,720575940654955937,DNp15,720575940623431351,5,2.433912622557807e-06,0.028450008906532306,T4a -> LPi14 -> Am1 -> LPi15 -> HSE -> DNp15,"0.15384615,0.08139647,0.05724515,0.02845001,0.11934156"
T4a,720575940654955937,DNp15,720575940623431351,5,2.6711235727506585e-06,0.026032521566531797,T4a -> LPi14 -> Am1 -> LPi15 -> HSN -> DNp15,"0.15384615,0.08139647,0.05724515,0.02603252,0.14313535"
T4a,720575940654955937,DNp18,720575940627949589,5,9.812290675410583e-07,0.026032521566531797,T4a -> LPi14 -> Am1 -> LPi15 -> HSN -> DNp18,"0.15384615,0.08139647,0.05724515,0.02603252,0.05258033"
T4a,720575940654955937,DNae002,720575940620380449,5,8.358617982757162e-07,0.026032521566531797,T4a -> LPi14 -> Am1 -> LPi15 -> HSN -> DNae002,"0.15384615,0.08139647,0.05724515,0.02603252,0.04479065"
T4a,720575940654955937,DNae010,720575940630868281,5,7.631781636430452e-07,0.026032521566531797,T4a -> LPi14 -> Am1 -> LPi15 -> HSN -> DNae010,"0.15384615,0.08139647,0.05724515,0.02603252,0.04089581"
T4a,720575940654955937,DNp26,720575940627732361,5,8.009207801198001e-07,0.02147746647326768,T4a -> LPi14 -> Am1 -> LPi15 -> LPT26 -> DNp26,"0.15384615,0.08139647,0.05724515,0.02147747,0.05202064"
T4a,720575940654955937,DNae002,720575940620380449,5,9.364920737648614e-08,0.008837947938962922,T4a -> LPi14 -> Am1 -> DCH -> LPT22 -> DNae002,"0.15384615,0.08139647,0.03200376,0.00883795,0.02643988"
T4a,720575940654955937,DNae002,720575940620380449,5,5.0798836174173914e-08,0.007047707558859975,T4a -> LPi14 -> Am1 -> VCH -> LPT22 -> DNae002,"0.15384615,0.08139647,0.02176979,0.00704771,0.02643988"
T4a,720575940654955937,DNp31,720575940632189900,5,1.4284094286770826e-07,0.008570498680070879,T4a -> LPi14 -> Am1 -> LPT23 -> vCal1 -> DNp31,"0.15384615,0.08139647,0.00857050,0.01423488,0.09349766"
T4a,720575940654955937,DNp31,720575940628132745,5,6.427842429046871e-08,0.008570498680070879,T4a -> LPi14 -> Am1 -> LPT23 -> vCal1 -> DNp31,"0.15384615,0.08139647,0.00857050,0.01423488,0.04207395"
T4a,720575940640283701,DNp15,720575940623431351,5,4.560845274702917e-06,0.028450008906532306,T4a -> LPi14 -> Am1 -> LPi15 -> HSE -> DNp15,"0.28828829,0.08139647,0.05724515,0.02845001,0.11934156"
T4a,720575940640283701,DNp15,720575940623431351,5,5.005348676866098e-06,0.026032521566531797,T4a -> LPi14 -> Am1 -> LPi15 -> HSN -> DNp15,"0.28828829,0.08139647,0.05724515,0.02603252,0.14313535"
T4a,720575940640283701,DNp18,720575940627949589,5,1.8386995139508117e-06,0.026032521566531797,T4a -> LPi14 -> Am1 -> LPi15 -> HSN -> DNp18,"0.28828829,0.08139647,0.05724515,0.02603252,0.05258033"
T4a,720575940640283701,DNae002,720575940620380449,5,1.5662995859580989e-06,0.026032521566531797,T4a -> LPi14 -> Am1 -> LPi15 -> HSN -> DNae002,"0.28828829,0.08139647,0.05724515,0.02603252,0.04479065"
T4a,720575940640283701,DNae010,720575940630868281,5,1.4300996219617423e-06,0.026032521566531797,T4a -> LPi14 -> Am1 -> LPi15 -> HSN -> DNae010,"0.28828829,0.08139647,0.05724515,0.02603252,0.04089581"
T4a,720575940640283701,DNp26,720575940627732361,5,1.500824524909175e-06,0.02147746647326768,T4a -> LPi14 -> Am1 -> LPi15 -> LPT26 -> DNp26,"0.28828829,0.08139647,0.05724515,0.02147747,0.05202064"
T4a,720575940640283701,DNae002,720575940620380449,5,1.7548680301179384e-07,0.008837947938962922,T4a -> LPi14 -> Am1 -> DCH -> LPT22 -> DNae002,"0.28828829,0.08139647,0.03200376,0.00883795,0.02643988"
T4a,720575940640283701,DNae002,720575940620380449,5,9.519061192998352e-08,0.007047707558859975,T4a -> LPi14 -> Am1 -> VCH -> LPT22 -> DNae002,"0.28828829,0.08139647,0.02176979,0.00704771,0.02643988"
T4a,720575940640283701,DNp31,720575940632189900,5,2.676659109593091e-07,0.008570498680070879,T4a -> LPi14 -> Am1 -> LPT23 -> vCal1 -> DNp31,"0.28828829,0.08139647,0.00857050,0.01423488,0.09349766"
T4a,720575940640283701,DNp31,720575940628132745,5,1.204496599316891e-07,0.008570498680070879,T4a -> LPi14 -> Am1 -> LPT23 -> vCal1 -> DNp31,"0.28828829,0.08139647,0.00857050,0.01423488,0.04207395"
T4a,720575940640779984,DNp15,720575940623431351,5,2.863549078827981e-06,0.028450008906532306,T4a -> LPi14 -> Am1 -> LPi15 -> HSE -> DNp15,"0.19310345,0.07629601,0.05724515,0.02845001,0.11934156"
T4a,720575940640779984,DNp15,720575940623431351,5,3.1426327203758055e-06,0.026032521566531797,T4a -> LPi14 -> Am1 -> LPi15 -> HSN -> DNp15,"0.19310345,0.07629601,0.05724515,0.02603252,0.14313535"
T4a,720575940640779984,DNp18,720575940627949589,5,1.1544365095258062e-06,0.026032521566531797,T4a -> LPi14 -> Am1 -> LPi15 -> HSN -> DNp18,"0.19310345,0.07629601,0.05724515,0.02603252,0.05258033"
T4a,720575940640779984,DNae002,720575940620380449,5,9.83408878484946e-07,0.026032521566531797,T4a -> LPi14 -> Am1 -> LPi15 -> HSN -> DNae002,"0.19310345,0.07629601,0.05724515,0.02603252,0.04479065"
T4a,720575940640779984,DNae010,720575940630868281,5,8.978950629645159e-07,0.026032521566531797,T4a -> LPi14 -> Am1 -> LPi15 -> HSN -> DNae010,"0.19310345,0.07629601,0.05724515,0.02603252,0.04089581"
T4a,720575940640779984,DNp26,720575940627732361,5,9.423000402192005e-07,0.02147746647326768,T4a -> LPi14 -> Am1 -> LPi15 -> LPT26 -> DNp26,"0.19310345,0.07629601,0.05724515,0.02147747,0.05202064"
T4a,720575940640779984,DNae002,720575940620380449,5,1.1018025011682121e-07,0.008837947938962922,T4a -> LPi14 -> Am1 -> DCH -> LPT22 -> DNae002,"0.19310345,0.07629601,0.03200376,0.00883795,0.02643988"
T4a,720575940640779984,DNae002,720575940620380449,5,5.976589265526696e-08,0.007047707558859975,T4a -> LPi14 -> Am1 -> VCH -> LPT22 -> DNae002,"0.19310345,0.07629601,0.02176979,0.00704771,0.02643988"
T4a,720575940640779984,DNp31,720575940632189900,5,1.6805535522384243e-07,0.008570498680070879,T4a -> LPi14 -> Am1 -> LPT23 -> vCal1 -> DNp31,"0.19310345,0.07629601,0.00857050,0.01423488,0.09349766"
T4a,720575940640779984,DNp31,720575940628132745,5,7.562490985072909e-08,0.008570498680070879,T4a -> LPi14 -> Am1 -> LPT23 -> vCal1 -> DNp31,"0.19310345,0.07629601,0.00857050,0.01423488,0.04207395"
T4a,720575940626623516,DNp15,720575940623431351,5,3.6464983878517906e-06,0.028450008906532306,T4a -> LPi14 -> Am1 -> LPi15 -> HSE -> DNp15,"0.24590164,0.07629601,0.05724515,0.02845001,0.11934156"
T4a,720575940626623516,DNp15,720575940623431351,5,4.0018888564504555e-06,0.026032521566531797,T4a -> LPi14 -> Am1 -> LPi15 -> HSN -> DNp15,"0.24590164,0.07629601,0.05724515,0.02603252,0.14313535"
T4a,720575940626623516,DNp18,720575940627949589,5,1.470081620736902e-06,0.026032521566531797,T4a -> LPi14 -> Am1 -> LPi15 -> HSN -> DNp18,"0.24590164,0.07629601,0.05724515,0.02603252,0.05258033"
T4a,720575940626623516,DNae002,720575940620380449,5,1.2522917509981017e-06,0.026032521566531797,T4a -> LPi14 -> Am1 -> LPi15 -> HSN -> DNae002,"0.24590164,0.07629601,0.05724515,0.02603252,0.04479065"
